Speech data from:
Auer, R., Cornelli, G. & Frost, J. (2020), Rise of the central bank digital currencies: drivers,
approaches and technologies, BIS Working Paper 880, Bank for International Settlements.
URL: https://econpapers.repec.org/paper/bisbiswps/880.htm

Country,ISO-2,Date,Speech stance
United Kingdom,GB,3/2/2016,0
Euro Area,EA,4/25/2016,0
Finland,FI,6/14/2016,-1
United Kingdom,GB,6/16/2016,-1
Canada,CA,6/17/2016,-1
United Kingdom,GB,9/20/2016,0
Singapore,SG,11/16/2016,1
Sweden,SE,11/16/2016,1
Japan,JP,11/18/2016,-1
Euro Area,EA,1/16/2017,0
United States,US,3/3/2017,-1
Japan,JP,4/21/2017,0
Malaysia,MY,5/15/2017,0
Germany,DE,6/14/2017,0
Czech Republic,CZ,7/11/2017,0
Chile,CL,6/29/2017,-1
Euro Area,EA,9/1/2017,-1
Germany,DE,9/20/2017,-1
United Kingdom,GB,10/6/2017,0
Singapore,SG,10/9/2017,1
Denmark,DK,10/30/2017,-1
Barbados,BB,10/3/2017,0
Denmark,DK,11/3/2017,-1
Euro Area,EA,11/9/2017,-1
Euro Area,EA,11/21/2017,0
Canada,CA,12/14/2017,0
United States,US,11/30/2017,-1
Australia,AU,12/13/2017,0
Denmark,DK,12/4/2017,-1
Euro Area,EA,12/17/2017,0
Pakistan,PK,11/21/2017,0
Sweden,SE,12/8/2017,1
Sweden,SE,1/29/2018,0
Euro Area,EA,2/6/2018,0
Euro Area,EA,2/8/2018,-1
Germany,DE,2/14/2018,-1
Czech Republic,CZ,2/27/2018,-1
Euro Area,EA,3/13/2018,0
United Kingdom,GB,3/2/2018,-1
Malaysia,MY,3/22/2018,0
Japan,JP,4/16/2018,-1
United States,US,5/15/2018,-1
Euro Area,EA,5/14/2018,-1
Euro Area,EA,5/14/2018,0
Germany,DE,5/25/2018,0
Thailand,TH,6/5/2018,-1
Japan,JP,5/30/2018,0
Lithuania,LT,5/16/2018,0
Italy,IT,6/7/2018,0
Greece,GR,5/24/2018,0
New Zealand,NZ,6/26/2018,0
Singapore,SG,6/26/2018,1
New Zealand,NZ,9/7/2018,0
Thailand,TH,9/15/2018,0
Canada,CA,10/1/2018,0
Thailand,TH,10/2/2018,1
Hong Kong SAR,HK,9/21/2018,0
Belgium,BE,9/14/2018,0
Curaçao and Sint Maarten,CBCS,6/29/2018,1
Japan,JP,11/20/2018,-1
Norway,NO,11/1/2018,0
Sweden,SE,11/6/2018,1
Euro Area,EA,11/15/2018,0
South Africa,ZA,11/27/2018,0
Kuwait,KW,11/27/2018,1
Belgium,BE,11/30/2018,0
United Arab Emirates,AE,12/10/2018,1
China,CN,12/17/2018,0
Singapore,SG,12/13/2018,0
Bosnia and Herzegovina,BA,11/1/2018,0
Norway,NO,2/14/2019,1
The Bahamas,BS,3/18/2019,1
Euro Area,EA,3/22/2019,-1
Thailand,TH,3/27/2019,1
Lithuania,LT,4/12/2019,0
United Kingdom,GB,6/20/2019,0
Germany,DE,6/21/2019,0
Mexico,MX,7/9/2019,0
Japan,JP,7/5/2019,-1
Thailand,TH,7/18/2019,1
Curaçao and Sint Maarten,CBCS,6/7/2019,0
United Kingdom,GB,8/23/2019,0
